"rgn_id","year","count"
2,1990,104098.284519892
11,1990,107562.92740752
5,1990,45036.2774535678
4,1990,204459.727369987
3,1990,143077.210454168
14,1990,99501.6741618021
7,1990,132918.531988911
1,1990,837697.790929513
8,1990,81304.7213507465
9,1990,1913916.39063565
10,1990,46299.6464633066
13,1990,100006.911502917
12,1990,85631.677916077
6,1990,783395.272090569
2,1991,103984.460914007
11,1991,107445.315476512
5,1991,44987.0336882258
4,1991,204236.166112135
3,1991,142920.766338984
14,1991,99392.8766019103
7,1991,132773.195620789
1,1991,836781.831712267
8,1991,81215.8207833424
9,1991,1911823.66772529
10,1991,46249.0212994438
13,1991,99897.5615041805
12,1991,85538.0461487204
6,1991,782538.688573234
2,1992,102119.680446409
11,1992,105518.47060109
5,1992,44180.2694757693
4,1992,200573.545659084
3,1992,140357.730947537
14,1992,97610.4382137461
7,1992,130392.139262579
1,1992,821775.604803913
8,1992,79759.3562796506
9,1992,1877538.43508831
10,1992,45419.6255338969
13,1992,98106.0724699892
12,1992,84004.0700498627
6,1992,768505.218103079
2,1993,100056.338029732
11,1993,103386.45515429
5,1993,43287.6009559397
4,1993,196520.929134899
3,1993,137521.783375956
14,1993,95638.2056666367
7,1993,127757.547863883
1,1993,805171.51384936
8,1993,78147.8073380635
9,1993,1839602.50858401
10,1993,44501.9156516882
13,1993,96123.8255634576
12,1993,82306.7560732652
6,1993,752977.462757413
2,1994,99418.7345555146
11,1994,102727.630693077
5,1994,43011.7531155776
4,1994,195268.610394874
3,1994,136645.433425641
14,1994,95028.7564962818
7,1994,126943.419963746
1,1994,800040.602957751
8,1994,77649.8147626564
9,1994,1827879.74345239
10,1994,44218.3296581611
13,1994,95511.2818071978
12,1994,81782.260827314
6,1994,748179.155566529
2,1995,100269.685843041
11,1995,103606.903699253
5,1995,43379.9021053643
4,1995,196939.966162698
3,1995,137815.017891065
14,1995,95842.1327985865
7,1995,128029.962325648
1,1995,806888.362428884
8,1995,78314.4400985543
9,1995,1843525.05042686
10,1995,44596.8060562275
13,1995,96328.7881714715
12,1995,82482.2568638657
6,1995,754583.019170069
2,1996,100545.562437726
11,1996,103891.962134792
5,1996,43499.2552236071
4,1996,197481.816142236
3,1996,138194.194683258
14,1996,96105.8276631063
7,1996,128382.217044779
1,1996,809108.391462048
8,1996,78529.9102166403
9,1996,1848597.22561972
10,1996,44719.5072982348
13,1996,96593.8219932836
12,1996,82709.1940877557
6,1996,756659.138108565
2,1997,99220.0340795007
11,1997,102522.31698425
5,1997,42925.7888769815
4,1997,194878.342242604
3,1997,136372.330848062
14,1997,94838.829927258
7,1997,126689.708044294
1,1997,798441.624160155
8,1997,77494.6221299529
9,1997,1824226.50267494
10,1997,44129.9539290704
13,1997,95320.3908524434
12,1997,81618.8089967457
6,1997,746683.828201729
2,1998,98605.0261825241
11,1998,101886.840135782
5,1998,42659.7166125621
4,1998,193670.403538079
3,1998,135527.037242
14,1998,94250.9785937404
7,1998,125904.431445311
